iter	Passed	Remaining
0	1	185
1	2	133
2	3	118
3	4	104
4	5	103
5	6	102
6	7	102
7	8	98
8	9	94
9	10	91
10	11	93
11	12	94
12	13	92
13	14	90
14	16	92
15	17	92
16	19	94
17	20	93
18	22	93
19	23	92
20	24	91
21	25	90
22	26	89
23	27	88
24	29	87
25	30	87
26	31	85
27	32	84
28	33	82
29	34	81
30	35	79
31	36	78
32	38	78
33	39	77
34	41	76
35	42	74
36	43	74
37	44	72
38	45	71
39	46	70
40	48	69
41	48	67
42	49	66
43	50	64
44	52	63
45	53	62
46	54	61
47	55	60
48	56	58
49	57	57
50	58	56
51	59	55
52	60	53
53	61	52
54	61	50
55	62	49
56	63	47
57	64	46
58	65	45
59	66	44
60	67	42
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	76	34
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
